ID,Predicted Price
845,2385430.42201283
1924,1024037.4796863946
10718,1259599.385995599
12076,8783412.83393001
12254,1937027.7580912106
9950,2962023.433311004
1548,2498119.847764946
526,1203743.2636762264
6776,952256.097356647
1851,1384771.2176817437
9188,1842553.509525287
3382,3081418.2197196684
242,2519921.844804459
6439,1836381.647012274
1561,2644555.415513522
5339,2371254.740661259
7387,2500594.8263799683
11576,1895628.6238178057
5984,4749560.320814874
4486,1754004.632938626
2205,934103.103598289
3468,1291244.0945742796
4226,2252951.5424054535
2088,2386960.5660426924
2118,2761695.0150169907
8036,1499179.0017220215
23,1268026.9377099334
1898,2003459.5132317513
6976,2721485.3510948317
1465,3323091.7336981455
2040,1449041.9117606212
482,1110130.3727394447
5122,2020225.6641826436
3447,1167895.3793035713
12877,2428725.5703671784
3780,1343539.52518261
1285,1648891.468406689
9200,1958077.9977613445
921,2908634.930826414
3060,2696293.78807363
1082,1030819.5427730014
71,1956480.3196184156
4464,1733155.1602756297
4576,3590003.3920364883
897,2977787.952108958
1756,886698.3874180319
8745,2398218.330072669
806,1499693.7424372328
803,1426065.411106137
7613,1509300.6470860478
243,1253603.920012834
8135,1312208.5229910351
1527,2072398.6912986347
2825,1260660.9434505505
666,1092684.4844264656
12028,1531766.7507521557
2308,1975579.8917958087
11223,1500284.0366888377
1479,838250.564330938
2057,2377603.8270739266
2368,1043127.4487829173
7638,2640156.9291141448
432,2198486.104362518
9800,1239780.5596780658
2140,3283884.121307318
837,2001059.9444765958
3227,1970527.7257251858
12412,2062566.3942000878
10267,1328779.1531415526
3850,3267295.2135191476
382,4298700.160796556
1280,2332152.290285832
2226,4675530.216937288
4166,3214564.3989448715
5208,2934198.4856599667
4513,1855432.9601685475
10814,3028857.9130915324
3120,2842440.9923281083
7915,1894385.0747110806
3513,2286731.7486667074
9041,1325029.0545237316
561,1312300.8958378
11041,2988181.9465185073
2920,2726177.71385643
2042,992094.159646614
10220,1804354.9306475432
11511,1737864.6892873582
8424,2904623.33644622
5801,3177246.5609552423
10746,1269660.096547637
11018,1123808.9853838007
816,718468.4951862104
10413,1580527.149771422
4471,2876841.141376211
1928,2020002.785630383
323,1761274.641095937
11548,3031309.7708406597
12564,2615107.838507559
5817,3447415.207562942
1030,1355121.4445631192
3888,1849048.3518058588
2427,2048155.387426566
5378,1672305.004008072
3701,1624244.9881392452
4536,1561102.1412290977
3799,2697734.7053669696
9431,2250441.5252228687
10878,1189600.848484376
2028,878827.7120359107
5598,2184429.699878098
5828,6952509.148197338
2842,2009813.4126198725
279,2138055.5173497666
4812,2096668.1187992233
11406,1984754.284149049
1086,1405548.7590729971
2696,1210694.2003264243
9220,1071716.5690160256
1496,1256186.883137838
3737,1247713.9611189603
12211,3482269.4262971287
1556,2020333.6991298394
1066,1318360.5988089433
1836,1109448.711402725
10913,1230176.101282738
1868,1433611.0186430796
12610,3569985.6387888025
12146,1682049.8999117687
2087,1501654.5631441893
2916,2340520.101375241
10188,2865167.7358769765
3253,1510940.8376162169
9082,2487755.6102741
12493,1253290.6463161348
5898,3440277.79865003
8409,2102273.6476559145
5885,2061109.8675900095
1101,960581.8886565131
10071,2196879.482986683
11403,4893052.25148404
728,1239005.3156428868
11647,3791576.771178146
1931,1742781.6578731518
232,2926576.4348397073
3988,1785630.614556172
9416,1698498.6958471774
1866,1747955.9069859353
5685,2543161.6528325747
2779,2102106.752605018
3294,2831764.731250165
1471,2098851.894222651
2960,1283599.4170814492
10447,1789747.8885976025
1220,2257410.2170028514
69,1556318.2506432969
2002,4316300.041622377
2784,2269435.0299001737
1911,2206981.089347729
3023,1430413.043635292
3394,1620833.1628542056
5920,1294529.9759293627
688,2788864.3268954814
1511,1784576.6444328134
3572,3553708.751943497
12401,1156700.9656921553
10756,2286298.7798116524
4007,1739050.730549942
3230,1104109.1464689146
12240,3079406.7946305824
10539,1841639.7387342495
3226,3499162.3885747073
2280,1062639.535937754
3650,2361258.556159651
8540,1341708.5957241647
5847,1425631.5275356248
6694,3534072.026763238
1336,1321866.8557715216
2538,1865475.3174903248
7185,3352648.685561111
8314,2544731.286762359
1204,945646.3306067653
2020,1265840.5773845187
2468,1529252.6293879119
9909,1902161.2847545466
7935,1106464.9673223577
1361,1576327.664938
6138,1530998.944284085
1914,3907042.3486459525
11090,1772170.4642270561
9320,1559816.3297687788
172,1741039.4767077155
823,2997253.0462729353
1189,1122122.0445235535
3768,852512.6072281543
2993,1939578.793522769
12873,1468735.9039935127
1146,857940.9710069457
19,1572284.9163589957
2113,2756111.544906471
5132,2470743.3295122185
11109,2226191.1353158196
1562,1059099.961790446
337,1542168.3665408713
1981,4820141.721536019
546,1415336.7684855913
7428,2071285.3006308964
230,960723.5716155462
412,2724255.694111215
2205,887147.4354346478
9114,2638862.44449653
1803,2370766.782356153
1571,3833272.5734721497
12362,3960820.929234922
8109,1911110.604792899
3868,3326921.1593831885
3013,2199173.131644447
1011,970976.2267468199
12983,3205772.5363379107
116,1752674.914805226
3245,1745787.404026058
2253,4403889.696933346
10879,3119549.1757210265
2246,1460865.1819575701
11494,3077519.103441788
2259,3418788.3884071168
2199,1703114.0816651871
1692,1494300.816192497
5772,1646666.6065896258
10182,2060328.0797300502
5051,2541150.8759706495
5033,5537088.687526558
11113,2227708.5982453115
51,2034200.5537464009
5129,1231303.2196473216
1550,1653945.4110275847
616,2879455.697722207
10151,2668407.8991805897
6994,3594025.752019774
5738,2415622.7929680618
5729,5639326.85525804
1122,868146.1610778568
3406,1281958.7130561299
2196,986687.9053494325
3768,2411631.932075409
4432,2165429.5391388056
2236,1171478.5718122155
1743,2164495.1902878424
2046,1965318.7254351722
781,1059457.5562779035
1126,985853.649399736
10472,2920749.787334471
3524,1788545.2117885635
6922,1723166.247581549
6018,2192409.9830678487
2973,2041513.9461106653
8323,3776821.053229767
576,1427329.9684411292
3118,1255728.6860306917
5737,2925812.6033759336
4642,4229453.6388656795
8425,1429173.9065000154
2245,5658230.917388504
12248,927281.2147616227
2533,1005910.6084705726
3134,1264014.64296265
5871,2313391.9602412586
9331,2987206.8814226594
959,1838020.175680608
2753,2723883.4202763443
2887,2289711.518199988
11710,2375598.9134537675
5279,3683445.502811919
3249,1333215.6765910825
9711,2409232.5034834268
5061,2153576.5485463706
2493,1885667.556633542
627,2363975.0380558246
2618,1079352.6126415646
4698,1258211.2274582393
1575,2089161.7746618562
425,1030597.285880703
944,1500139.5473877778
3508,1550268.8794389628
3674,1611083.2740196742
3351,709441.0733964327
1348,757559.8468355169
1421,944661.8131911925
9134,1066401.745492263
6348,2455523.239629292
1277,2408680.1338273343
1152,1132717.808555853
7783,2652981.3487097803
29,2902441.0297946557
11244,929267.5987625439
5924,5961071.070108455
3001,4071254.5684907697
4587,1699407.3429927633
8303,3109061.6016050815
2439,1656319.0515089326
3060,3051972.2447826136
8575,6039576.732449602
11031,1119626.3958402448
2056,2667550.7444020733
8657,1596051.5626574103
7669,2628325.5526810745
371,1976946.4288472587
3985,1845266.790027875
279,1530470.8901379541
2964,1700283.0565848371
5411,1138847.8761797657
4555,2665968.862671803
3310,2483395.599023089
2340,1133011.4553202428
2139,1143356.294858649
578,1645494.5643747437
2263,1068730.5719722416
11168,3350277.1011866527
8198,1678418.5508958471
6174,2158022.285699183
7566,1179811.8264171495
5106,3099611.017671725
1977,1775680.7644566672
5663,2580802.772946896
1398,2124294.4430810735
2207,1203707.8575507607
1987,1031218.7170395891
70,1985981.292493959
12282,4247223.55780205
5913,6135497.451674197
6506,1398416.7659491203
3957,2177249.0054608164
881,1065424.1630783547
1599,889600.2962806118
1989,4492712.513408618
1719,1397609.8029537273
3669,1162479.3372965055
7029,1603446.3266453678
3537,3097566.4582716613
8590,2510439.304178377
2974,2223961.6882673246
431,4350603.944642937
12647,2823141.6586296842
2062,2996365.347835658
8040,1775680.7644566672
7744,1851618.4484898066
6155,2513734.508105498
98,1745711.1472751852
3514,1452903.623278319
776,1516711.7617897375
3678,826613.9075439726
2529,1120309.1724765468
1806,2035507.060839114
6359,1284092.7945285677
200,889600.2962806118
1477,2327975.273278023
1679,2564338.599246283
2323,2089176.3438511353
917,1282618.93398731
430,941251.2733403216
3723,1282618.93398731
6665,1382970.3894393297
2719,1112195.6247920361
10429,1038377.0125014829
428,1862697.6770955827
3995,1496424.017132734
393,970482.4558218261
2336,2230767.5851211483
2107,1125241.810767115
1242,893470.3655162714
7616,2518999.841948324
11586,2895974.737217689
762,952256.097356647
1677,1550107.704212416
9356,1367402.866467834
4810,2795519.9857693333
1643,2360672.0465733
1977,2217781.7638293817
1102,1291244.0945742796
2231,3265672.1988345217
6369,1953852.4441406208
8299,4198904.312959433
9088,2532728.6471479847
12140,1500691.710061131
89,8220367.313578269
12948,3153643.7402358595
2387,3684242.5875286967
9454,3370285.47081654
10957,2798095.2377288695
6075,1892506.5419114775
2665,1505561.5315239844
6511,3001908.032009549
3180,1454031.1062924992
4079,3108148.9543809933
7372,4123268.3771808636
10509,1527786.315694068
3302,2381710.1135000493
10714,1728527.7773919492
1794,1553002.9782868805
6467,1817938.9523593625
10015,2020529.6764336664
12005,2278952.7100304966
11832,1224734.5175219188
7524,2084812.356921602
680,2822854.739421021
376,4300125.265829224
8563,2238028.3050461267
2826,952885.3001455069
11426,3439372.512774066
6426,2382224.0933797904
649,4631645.28305559
2190,2238930.3257166594
11071,2614518.8590155705
738,938621.1682489924
3915,3329713.3827193044
2056,1618763.519320596
11297,2009805.4782820877
2113,1981701.821963123
1235,1075753.0331301389
12351,2114762.614524729
995,965497.7218235205
857,1623047.463141872
1559,1682399.4292473064
7580,2436275.8284030035
716,859752.3565680243
3161,2218199.4507095986
6287,2725390.9844919704
3061,1683535.008600195
2715,2051923.5072436444
8652,2960736.2398572285
8978,1770530.5085579525
11641,4974027.646551911
4811,2372505.0620082603
132,2759258.4351959247
3930,1981541.7370384398
12963,3767226.8518190794
3625,998688.0305853472
2256,1416892.7990871738
11883,1880831.5453343082
1393,4519540.325340465
778,2557753.3004628774
333,1033810.4928794741
2259,1307460.3423126158
4898,3634353.0689384732
975,904445.8022398767
2130,2785397.681413658
12336,2230767.5851211483
12354,3669852.9029694702
1707,1134284.0251894912
432,1973790.0894324903
1815,1809621.0447347686
12357,2086211.8146821854
11140,3589014.790153317
9197,1547565.4641213394
10500,3405480.6701524546
12701,2490992.776112516
12111,2927865.933780398
11150,1785420.3054418133
1933,2740695.405984385
4617,5760640.781776989
12312,3070507.52103144
7129,2401238.2326349723
5744,3161892.193943734
3903,3514799.793974288
3017,3241139.9629124673
8723,4367487.67628126
3629,1768147.1932426263
2638,1030819.5427730014
1632,1593572.4402211183
3922,1459101.3148036492
2216,1023093.5576075767
